"","Gender","Age","Department","Response","Satisfaction","Statement"
"8965","Female","46-55","OOG","Agree","Compensation","I understand my benefit plan"
"8966","Male","36-45","Education","Neutral","Compensation","I understand my benefit plan"
"8967","Male","Below 35","Lands","Agree","Compensation","I understand my benefit plan"
"8968","Male","46-55","Education","Strongly Disagree","Compensation","I understand my benefit plan"
"8969","Male","36-45","Finance","Strongly Agree","Compensation","I understand my benefit plan"
"8970","Male","Below 35","Health","Agree","Compensation","I understand my benefit plan"
"8971","Female","Below 35","Health","Agree","Compensation","I understand my benefit plan"
"8972","Female","36-45","Education","Strongly Disagree","Compensation","I understand my benefit plan"
"8973","Male","46-55","Water","Agree","Compensation","I understand my benefit plan"
"8974","Male","Below 35","Education","Strongly Disagree","Compensation","I understand my benefit plan"
"8975","Male","46-55","Devolution","Disagree","Compensation","I understand my benefit plan"
"8976","Female","Below 35","OOG","Agree","Compensation","I understand my benefit plan"
"8977","Male","Below 35","YGSS","Agree","Compensation","I understand my benefit plan"
"8978","Male","Below 35","Finance","Agree","Compensation","I understand my benefit plan"
"8979","Male","Below 35","Health","Neutral","Compensation","I understand my benefit plan"
"8980","Female","Below 35","Health","Agree","Compensation","I understand my benefit plan"
"8981","Female","Above 55","Water","Neutral","Compensation","I understand my benefit plan"
"8982","Female","36-45","Health","Strongly Disagree","Compensation","I understand my benefit plan"
"8983","Male","46-55","Agriculture","Neutral","Compensation","I understand my benefit plan"
"8984","Male","36-45","Education","Neutral","Compensation","I understand my benefit plan"
"8985","Female","46-55","Education","Disagree","Compensation","I understand my benefit plan"
"8986","Male","36-45","Education","Strongly Disagree","Compensation","I understand my benefit plan"
"8987","Female","46-55","Finance","Strongly Disagree","Compensation","I understand my benefit plan"
"8988","Female","Below 35","Devolution","Agree","Compensation","I understand my benefit plan"
"8989","Male","Below 35","Transport","Disagree","Compensation","I understand my benefit plan"
"8990","Female","Below 35","Health","Disagree","Compensation","I understand my benefit plan"
"8991","Female","Below 35","Health","Neutral","Compensation","I understand my benefit plan"
"8992","Female","46-55","Education","Disagree","Compensation","I understand my benefit plan"
"8993","Male","46-55","Finance","Strongly Disagree","Compensation","I understand my benefit plan"
"8994","Female","46-55","Education","Disagree","Compensation","I understand my benefit plan"
"8995","Female","Below 35","Education","Disagree","Compensation","I understand my benefit plan"
"8996","Male","Above 55","Education","Agree","Compensation","I understand my benefit plan"
"8997","Female","Below 35","Health","Strongly Disagree","Compensation","I understand my benefit plan"
"8998","Male","Below 35","Health","Agree","Compensation","I understand my benefit plan"
"8999","Male","36-45","Trade","Disagree","Compensation","I am satisfied with my benefit package"
"9000","Female","36-45","Education","Agree","Compensation","I am satisfied with my benefit package"
"9001","Male","36-45","Finance","Strongly Agree","Compensation","I am satisfied with my benefit package"
"9002","Female","Above 55","Water","Disagree","Compensation","I am satisfied with my benefit package"
"9003","Male","Below 35","Health","Agree","Compensation","I am satisfied with my benefit package"
"9004","Male","Below 35","Education","Strongly Disagree","Compensation","I am satisfied with my benefit package"
"9005","Male","36-45","Education","Disagree","Compensation","I am satisfied with my benefit package"
"9006","Female","Below 35","Health","Agree","Compensation","I am satisfied with my benefit package"
"9007","Female","Below 35","Education","Disagree","Compensation","I am satisfied with my benefit package"
"9008","Female","Below 35","Health","Neutral","Compensation","I am satisfied with my benefit package"
"9009","Male","46-55","Agriculture","Disagree","Compensation","I am satisfied with my benefit package"
"9010","Male","46-55","Agriculture","Neutral","Compensation","I am satisfied with my benefit package"
"9011","Female","Below 35","Health","Neutral","Compensation","I am satisfied with my benefit package"
"9012","Male","36-45","Health","Disagree","Compensation","I am satisfied with my benefit package"
"9013","Male","36-45","Health","Strongly Disagree","Compensation","I am satisfied with my benefit package"
"9014","Female","Below 35","Lands","Neutral","Compensation","I am satisfied with my benefit package"
"9015","Female","46-55","Finance","Disagree","Compensation","I am satisfied with my benefit package"
"9016","Female","Below 35","Health","Disagree","Compensation","I am satisfied with my benefit package"
"9017","Female","36-45","Health","Disagree","Compensation","I am satisfied with my benefit package"
"9018","Male","Above 55","Agriculture","Neutral","Compensation","I am satisfied with my benefit package"
"9019","Female","36-45","Education","Strongly Disagree","Compensation","I am satisfied with my benefit package"
"9020","Male","Below 35","Transport","Strongly Disagree","Compensation","I am satisfied with my benefit package"
"9021","Female","46-55","OOG","Strongly Agree","Compensation","I am satisfied with my benefit package"
"9022","Male","36-45","Trade","Disagree","Compensation","I am satisfied with my benefit package"
"9023","Male","46-55","Agriculture","Strongly Disagree","Compensation","I am satisfied with my benefit package"
"9024","Female","Below 35","Devolution","Neutral","Compensation","I am satisfied with my benefit package"
"9025","Male","Above 55","Health","Disagree","Compensation","I am satisfied with my benefit package"
"9026","Male","36-45","trade","Neutral","Compensation","I am satisfied with my benefit package"
"9027","Male","Below 35","Health","Disagree","Compensation","I am satisfied with my benefit package"
"9028","Male","Below 35","Health","Disagree","Compensation","I am satisfied with my benefit package"
"9029","Male","46-55","OOG","Agree","Compensation","I am satisfied with my benefit package"
"9030","Female","36-45","Education","Disagree","Compensation","I am satisfied with my benefit package"
"9031","Male","Below 35","Education","Strongly Disagree","Compensation","I am satisfied with my benefit package"
"9032","Female","36-45","Health","Strongly Disagree","Compensation","I am satisfied with my benefit package"
"9033","Female","46-55","Education","Neutral","Compensation","I am satisfied with my benefit package"
"9034","Female","Below 35","Education","Disagree","Compensation","I am satisfied with my benefit package"
"9035","Female","36-45","OOG","Agree","Compensation","I am satisfied with my benefit package"
"9036","Female","36-45","Education","Disagree","Compensation","I am satisfied with my benefit package"
"9037","Male","36-45","Devolution","Disagree","Compensation","I am satisfied with my benefit package"
"9038","Male","36-45","Finance","Neutral","Compensation","I am satisfied with my benefit package"
"9039","Male","46-55","Education","Disagree","Compensation","I am satisfied with my benefit package"
"9040","Female","36-45","Education","Strongly Disagree","Compensation","I am satisfied with my benefit package"
"9041","Male","46-55","Education","Agree","Compensation","I am satisfied with my benefit package"
"9042","Male","Below 35","Health","Disagree","Compensation","I am satisfied with my benefit package"
"9043","Male","Below 35","Education","Strongly Disagree","Compensation","I am satisfied with my benefit package"
"9044","Female","Below 35","Health","Neutral","Compensation","I am satisfied with my benefit package"
"9045","Female","Below 35","Health","Neutral","Compensation","I am satisfied with my benefit package"
"9046","Female","46-55","Education","Disagree","Compensation","I am satisfied with my benefit package"
"9047","Male","46-55","Education","Strongly Disagree","Compensation","I am satisfied with my benefit package"
